date,country,D,H,I,M,S
2021-04-16,Argentina,0,2,1,19,20
2021-04-16,Sweden,0,0,0,4,5
2021-04-17,Afghanistan,0,3,2,16,16
2021-04-17,Argentina,0,2,1,19,20
2021-04-17,Sweden,0,0,0,4,5
2021-04-18,Afghanistan,0,3,0,18,16
2021-04-18,Argentina,0,2,1,19,20
2021-04-18,Sweden,0,0,0,4,5
2021-04-19,Afghanistan,0,3,0,18,16
2021-04-19,Argentina,0,2,1,19,20
2021-04-19,Sweden,0,0,0,4,5
2021-04-20,Afghanistan,0,3,0,19,15
2021-04-20,Argentina,0,1,1,22,18
2021-04-20,Sweden,2,0,0,6,1
2021-04-21,Afghanistan,1,3,0,22,11
2021-04-21,Argentina,0,1,1,29,11
2021-04-21,Sweden,2,0,0,6,1
2021-04-22,Afghanistan,1,3,0,27,6
2021-04-22,Argentina,0,1,1,34,6
2021-04-22,Sweden,2,0,0,7,0
2021-04-23,Afghanistan,1,3,0,29,4
2021-04-23,Argentina,0,1,1,36,4
2021-04-23,Sweden,2,0,0,7,0
2021-04-24,Afghanistan,2,2,1,30,2
2021-04-24,Argentina,0,1,0,37,4
2021-04-24,Sweden,2,0,0,7,0
2021-04-25,Afghanistan,2,2,1,30,2
2021-04-25,Argentina,0,0,1,39,2
2021-04-25,Sweden,2,0,0,7,0
2021-04-26,Afghanistan,2,2,1,30,2
2021-04-26,Argentina,0,0,1,40,1
2021-04-26,Sweden,2,0,0,7,0
2021-04-27,Afghanistan,2,2,1,32,0
2021-04-27,Argentina,0,0,1,40,1
2021-04-27,Sweden,2,0,0,7,0
2021-04-28,Afghanistan,2,2,0,33,0
2021-04-28,Argentina,0,0,1,40,1
2021-04-28,Sweden,2,0,0,7,0
2021-04-29,Afghanistan,2,2,0,33,0
2021-04-29,Argentina,0,0,0,40,2
2021-04-29,Sweden,2,0,0,7,0
2021-04-30,Afghanistan,2,2,0,33,0
2021-04-30,Argentina,0,0,0,41,1
2021-04-30,Sweden,2,0,0,7,0
2021-05-01,Afghanistan,2,2,0,33,0
2021-05-01,Argentina,0,0,0,41,1
2021-05-01,Sweden,2,0,0,7,0
2021-05-02,Afghanistan,2,2,0,33,0
2021-05-02,Argentina,0,0,0,41,1
2021-05-02,Sweden,2,0,0,7,0
2021-05-03,Afghanistan,2,2,0,33,0
2021-05-03,Argentina,0,0,0,41,1
2021-05-03,Sweden,2,0,0,7,0
2021-05-04,Afghanistan,2,2,0,33,0
2021-05-04,Argentina,0,0,0,41,1
2021-05-04,Sweden,2,0,0,7,0
2021-05-05,Afghanistan,2,1,1,33,0
2021-05-05,Argentina,0,0,0,41,1
2021-05-05,Sweden,2,0,0,7,0
2021-05-06,Afghanistan,2,1,1,33,0
2021-05-06,Argentina,0,0,0,41,1
2021-05-06,Sweden,2,0,0,7,0
2021-05-07,Afghanistan,2,1,1,33,0
2021-05-07,Argentina,0,0,0,41,1
2021-05-07,Sweden,2,0,0,7,0
2021-05-08,Afghanistan,2,1,1,33,0
2021-05-08,Argentina,0,0,0,41,1
2021-05-08,Sweden,2,0,0,7,0
2021-05-09,Afghanistan,2,1,0,33,1
2021-05-09,Argentina,0,0,0,41,1
2021-05-09,Sweden,2,0,0,7,0
2021-05-10,Afghanistan,2,1,0,33,1
2021-05-10,Argentina,0,0,0,41,1
2021-05-10,Sweden,2,0,0,7,0
2021-05-11,Afghanistan,2,1,0,33,1
2021-05-11,Argentina,0,0,0,41,1
2021-05-11,Sweden,2,0,0,7,0
2021-05-12,Afghanistan,2,1,0,33,1
2021-05-12,Argentina,0,0,0,41,1
2021-05-12,Sweden,2,0,0,7,0
2021-05-13,Afghanistan,2,1,0,33,1
2021-05-13,Argentina,0,0,0,42,0
2021-05-13,Sweden,2,0,0,7,0
2021-05-14,Afghanistan,2,1,0,33,1
2021-05-14,Argentina,0,0,0,42,0
2021-05-14,Sweden,2,0,0,7,0
2021-05-15,Afghanistan,2,1,0,33,1
2021-05-15,Argentina,0,0,0,42,0
2021-05-15,Sweden,2,0,0,7,0
2021-05-16,Afghanistan,2,1,0,33,1
2021-05-16,Argentina,0,0,0,42,0
2021-05-16,Sweden,2,0,0,7,0
2021-05-17,Afghanistan,2,1,0,33,1
2021-05-17,Argentina,0,0,0,42,0
2021-05-17,Sweden,2,0,0,7,0
2021-05-18,Afghanistan,2,0,1,33,1
2021-05-18,Argentina,0,0,0,42,0
2021-05-18,Sweden,2,0,0,7,0
2021-05-19,Afghanistan,2,0,1,33,1
2021-05-19,Argentina,0,0,0,42,0
2021-05-19,Sweden,2,0,0,7,0
2021-05-20,Afghanistan,2,0,1,33,1
2021-05-20,Argentina,0,0,0,42,0
2021-05-20,Sweden,2,0,0,7,0
2021-05-21,Afghanistan,2,0,1,33,1
2021-05-21,Argentina,0,0,0,42,0
2021-05-21,Sweden,2,0,0,7,0
2021-05-22,Afghanistan,2,0,0,33,2
2021-05-22,Argentina,0,0,0,42,0
2021-05-22,Sweden,2,0,0,7,0
2021-05-23,Afghanistan,2,0,0,34,1
2021-05-23,Argentina,0,0,0,42,0
2021-05-23,Sweden,2,0,0,7,0
2021-05-24,Afghanistan,2,0,0,34,1
2021-05-24,Argentina,0,0,0,42,0
2021-05-24,Sweden,2,0,0,7,0
2021-05-25,Afghanistan,2,0,0,34,1
2021-05-25,Argentina,0,0,0,42,0
2021-05-25,Sweden,2,0,0,7,0
2021-05-26,Afghanistan,2,0,0,34,1
2021-05-26,Argentina,0,0,0,42,0
2021-05-26,Sweden,2,0,0,7,0
2021-05-27,Afghanistan,2,0,0,34,1
2021-05-27,Argentina,0,0,0,42,0
2021-05-27,Sweden,2,0,0,7,0
2021-05-28,Afghanistan,2,0,0,34,1
2021-05-28,Argentina,0,0,0,42,0
2021-05-28,Sweden,2,0,0,7,0
2021-05-29,Afghanistan,2,0,0,34,1
2021-05-29,Argentina,0,0,0,42,0
2021-05-29,Sweden,2,0,0,7,0
2021-05-30,Afghanistan,2,0,0,34,1
2021-05-30,Argentina,0,0,0,42,0
2021-05-30,Sweden,2,0,0,7,0
2021-05-31,Afghanistan,2,0,0,34,1
2021-05-31,Argentina,0,0,0,42,0
2021-05-31,Sweden,2,0,0,7,0
2021-06-01,Afghanistan,2,0,0,34,1
2021-06-01,Argentina,0,0,0,42,0
2021-06-01,Sweden,2,0,0,7,0
2021-06-02,Afghanistan,2,0,0,34,1
2021-06-02,Argentina,0,0,0,42,0
2021-06-02,Sweden,2,0,0,7,0
2021-06-03,Afghanistan,2,0,0,34,1
2021-06-03,Argentina,0,0,0,42,0
2021-06-03,Sweden,2,0,0,7,0
2021-06-04,Afghanistan,2,0,0,34,1
2021-06-04,Argentina,0,0,0,42,0
2021-06-04,Sweden,2,0,0,7,0
2021-06-05,Afghanistan,2,0,0,35,0
2021-06-05,Argentina,0,0,0,42,0
2021-06-05,Sweden,2,0,0,7,0
2021-06-06,Afghanistan,2,0,0,35,0
2021-06-06,Argentina,0,0,0,42,0
2021-06-06,Sweden,2,0,0,7,0
2021-06-07,Afghanistan,2,0,0,35,0
2021-06-07,Argentina,0,0,0,42,0
2021-06-07,Sweden,2,0,0,7,0
2021-06-08,Afghanistan,2,0,0,35,0
2021-06-08,Argentina,0,0,0,42,0
2021-06-08,Sweden,2,0,0,7,0
2021-06-09,Afghanistan,2,0,0,35,0
2021-06-09,Argentina,0,0,0,42,0
2021-06-09,Sweden,2,0,0,7,0
2021-06-10,Afghanistan,2,0,0,35,0
2021-06-10,Argentina,0,0,0,42,0
2021-06-10,Sweden,2,0,0,7,0
2021-06-11,Afghanistan,2,0,0,35,0
2021-06-11,Argentina,0,0,0,42,0
2021-06-11,Sweden,2,0,0,7,0
2021-06-12,Afghanistan,2,0,0,35,0
2021-06-12,Argentina,0,0,0,42,0
2021-06-12,Sweden,2,0,0,7,0
2021-06-13,Afghanistan,2,0,0,35,0
2021-06-13,Argentina,0,0,0,42,0
2021-06-13,Sweden,2,0,0,7,0
2021-06-14,Afghanistan,2,0,0,35,0
2021-06-14,Argentina,0,0,0,42,0
2021-06-14,Sweden,2,0,0,7,0
2021-06-15,Afghanistan,2,0,0,35,0
2021-06-15,Argentina,0,0,0,42,0
2021-06-15,Sweden,2,0,0,7,0
2021-06-16,Afghanistan,2,0,0,35,0
2021-06-16,Argentina,0,0,0,42,0
2021-06-16,Sweden,2,0,0,7,0
2021-06-17,Afghanistan,2,0,0,35,0
2021-06-17,Argentina,0,0,0,42,0
2021-06-17,Sweden,2,0,0,7,0
2021-06-18,Afghanistan,2,0,0,35,0
2021-06-18,Argentina,0,0,0,42,0
2021-06-18,Sweden,2,0,0,7,0
2021-06-19,Afghanistan,2,0,0,35,0
2021-06-19,Argentina,0,0,0,42,0
2021-06-19,Sweden,2,0,0,7,0
2021-06-20,Afghanistan,2,0,0,35,0
2021-06-20,Argentina,0,0,0,42,0
2021-06-20,Sweden,2,0,0,7,0
2021-06-21,Afghanistan,2,0,0,35,0
2021-06-21,Argentina,0,0,0,42,0
2021-06-21,Sweden,2,0,0,7,0
2021-06-22,Afghanistan,2,0,0,35,0
2021-06-22,Argentina,0,0,0,42,0
2021-06-22,Sweden,2,0,0,7,0
2021-06-23,Afghanistan,2,0,0,35,0
2021-06-23,Argentina,0,0,0,42,0
2021-06-23,Sweden,2,0,0,7,0
2021-06-24,Afghanistan,2,0,0,35,0
2021-06-24,Argentina,0,0,0,42,0
2021-06-24,Sweden,2,0,0,7,0
2021-06-25,Afghanistan,2,0,0,35,0
2021-06-25,Argentina,0,0,0,42,0
2021-06-25,Sweden,2,0,0,7,0
2021-06-26,Afghanistan,2,0,0,35,0
2021-06-26,Argentina,0,0,0,42,0
2021-06-26,Sweden,2,0,0,7,0
2021-06-27,Afghanistan,2,0,0,35,0
2021-06-27,Argentina,0,0,0,42,0
2021-06-27,Sweden,2,0,0,7,0
2021-06-28,Afghanistan,2,0,0,35,0
2021-06-28,Argentina,0,0,0,42,0
2021-06-28,Sweden,2,0,0,7,0
2021-06-29,Afghanistan,2,0,0,35,0
2021-06-29,Argentina,0,0,0,42,0
2021-06-29,Sweden,2,0,0,7,0
2021-06-30,Afghanistan,2,0,0,35,0
2021-06-30,Argentina,0,0,0,42,0
2021-06-30,Sweden,2,0,0,7,0
2021-07-01,Afghanistan,2,0,0,35,0
2021-07-01,Argentina,0,0,0,42,0
2021-07-01,Sweden,2,0,0,7,0
2021-07-02,Afghanistan,2,0,0,35,0
2021-07-02,Argentina,0,0,0,42,0
2021-07-02,Sweden,2,0,0,7,0
2021-07-03,Afghanistan,2,0,0,35,0
2021-07-03,Argentina,0,0,0,42,0
2021-07-03,Sweden,2,0,0,7,0
2021-07-04,Afghanistan,2,0,0,35,0
2021-07-04,Argentina,0,0,0,42,0
2021-07-04,Sweden,2,0,0,7,0
2021-07-05,Afghanistan,2,0,0,35,0
2021-07-05,Argentina,0,0,0,42,0
2021-07-05,Sweden,2,0,0,7,0
2021-07-06,Afghanistan,2,0,0,35,0
2021-07-06,Argentina,0,0,0,42,0
2021-07-06,Sweden,2,0,0,7,0
2021-07-07,Afghanistan,2,0,0,35,0
2021-07-07,Argentina,0,0,0,42,0
2021-07-07,Sweden,2,0,0,7,0
2021-07-08,Afghanistan,2,0,0,35,0
2021-07-08,Argentina,0,0,0,42,0
2021-07-08,Sweden,2,0,0,7,0
2021-07-09,Afghanistan,2,0,0,35,0
2021-07-09,Argentina,0,0,0,42,0
2021-07-09,Sweden,2,0,0,7,0
2021-07-10,Afghanistan,2,0,0,35,0
2021-07-10,Argentina,0,0,0,42,0
2021-07-10,Sweden,2,0,0,7,0
2021-07-11,Afghanistan,2,0,0,35,0
2021-07-11,Argentina,0,0,0,42,0
2021-07-11,Sweden,2,0,0,7,0
2021-07-12,Afghanistan,2,0,0,35,0
2021-07-12,Argentina,0,0,0,42,0
2021-07-12,Sweden,2,0,0,7,0
2021-07-13,Afghanistan,2,0,0,35,0
2021-07-13,Argentina,0,0,0,42,0
2021-07-13,Sweden,2,0,0,7,0
2021-07-14,Afghanistan,2,0,0,35,0
2021-07-14,Argentina,0,0,0,42,0
2021-07-14,Sweden,2,0,0,7,0
2021-07-15,Afghanistan,2,0,0,35,0
2021-07-15,Argentina,0,0,0,42,0
2021-07-15,Sweden,2,0,0,7,0
2021-07-16,Afghanistan,2,0,0,35,0
2021-07-16,Argentina,0,0,0,42,0
2021-07-16,Sweden,2,0,0,7,0
2021-07-17,Afghanistan,2,0,0,35,0
2021-07-17,Argentina,0,0,0,42,0
2021-07-17,Sweden,2,0,0,7,0
2021-07-18,Afghanistan,2,0,0,35,0
2021-07-18,Argentina,0,0,0,42,0
2021-07-18,Sweden,2,0,0,7,0
2021-07-19,Afghanistan,2,0,0,35,0
2021-07-19,Argentina,0,0,0,42,0
2021-07-19,Sweden,2,0,0,7,0
2021-07-20,Afghanistan,2,0,0,35,0
2021-07-20,Argentina,0,0,0,42,0
2021-07-20,Sweden,2,0,0,7,0
2021-07-21,Afghanistan,2,0,0,35,0
2021-07-21,Argentina,0,0,0,42,0
2021-07-21,Sweden,2,0,0,7,0
2021-07-22,Afghanistan,2,0,0,35,0
2021-07-22,Argentina,0,0,0,42,0
2021-07-22,Sweden,2,0,0,7,0
2021-07-23,Afghanistan,2,0,0,35,0
2021-07-23,Argentina,0,0,0,42,0
2021-07-23,Sweden,2,0,0,7,0
2021-07-24,Afghanistan,2,0,0,35,0
2021-07-24,Argentina,0,0,0,42,0
2021-07-24,Sweden,2,0,0,7,0
2021-07-25,Afghanistan,2,0,0,35,0
2021-07-25,Argentina,0,0,0,42,0
2021-07-25,Sweden,2,0,0,7,0
2021-07-26,Afghanistan,2,0,0,35,0
2021-07-26,Argentina,0,0,0,42,0
2021-07-26,Sweden,2,0,0,7,0
2021-07-27,Afghanistan,2,0,0,35,0
2021-07-27,Argentina,0,0,0,42,0
2021-07-27,Sweden,2,0,0,7,0
2021-07-28,Afghanistan,2,0,0,35,0
2021-07-28,Argentina,0,0,0,42,0
2021-07-28,Sweden,2,0,0,7,0
2021-07-29,Afghanistan,2,0,0,35,0
2021-07-29,Argentina,0,0,0,42,0
2021-07-29,Sweden,2,0,0,7,0
2021-07-30,Afghanistan,2,0,0,35,0
2021-07-30,Argentina,0,0,0,42,0
2021-07-30,Sweden,2,0,0,7,0
2021-07-31,Afghanistan,2,0,0,35,0
2021-07-31,Argentina,0,0,0,42,0
2021-07-31,Sweden,2,0,0,7,0
2021-08-01,Afghanistan,2,0,0,35,0
2021-08-01,Argentina,0,0,0,42,0
2021-08-01,Sweden,2,0,0,7,0
2021-08-02,Afghanistan,2,0,0,35,0
2021-08-02,Argentina,0,0,0,42,0
2021-08-02,Sweden,2,0,0,7,0
2021-08-03,Afghanistan,2,0,0,35,0
2021-08-03,Argentina,0,0,0,42,0
2021-08-03,Sweden,2,0,0,7,0
2021-08-04,Afghanistan,2,2,0,33,0
2021-08-04,Argentina,0,6,0,36,0
2021-08-04,Sweden,2,1,0,6,0
2021-08-05,Afghanistan,2,3,0,32,0
2021-08-05,Argentina,0,8,2,32,0
2021-08-05,Sweden,2,1,1,5,0
2021-08-06,Afghanistan,2,4,1,30,0
2021-08-06,Argentina,0,7,5,30,0
2021-08-06,Sweden,2,2,1,4,0
2021-08-07,Afghanistan,2,4,2,29,0
2021-08-07,Argentina,0,6,7,29,0
2021-08-07,Sweden,2,1,2,4,0
2021-08-08,Afghanistan,2,5,2,28,0
2021-08-08,Argentina,0,8,9,25,0
2021-08-08,Sweden,2,2,2,3,0
2021-08-09,Afghanistan,2,4,3,28,0
2021-08-09,Argentina,0,3,12,26,1
2021-08-09,Sweden,2,1,2,3,1
2021-08-10,Afghanistan,2,6,4,25,0
2021-08-10,Argentina,0,4,9,27,2
2021-08-10,Sweden,2,1,2,3,1
2021-08-11,Afghanistan,2,7,4,23,1
2021-08-11,Argentina,0,4,8,27,3
2021-08-11,Sweden,2,1,1,3,2
2021-08-12,Afghanistan,2,6,5,23,1
2021-08-12,Argentina,0,3,7,27,5
2021-08-12,Sweden,2,1,1,3,2
2021-08-13,Afghanistan,2,6,6,21,2
2021-08-13,Argentina,0,3,2,28,9
2021-08-13,Sweden,2,1,0,4,2
2021-08-14,Afghanistan,2,6,4,22,3
2021-08-14,Argentina,0,2,3,28,9
2021-08-14,Sweden,2,1,0,4,2
2021-08-15,Afghanistan,2,5,5,22,3
2021-08-15,Argentina,0,2,2,28,10
2021-08-15,Sweden,2,1,0,4,2
2021-08-16,Afghanistan,2,6,5,20,4
2021-08-16,Argentina,0,1,2,28,11
2021-08-16,Sweden,2,1,0,4,2
2021-08-17,Afghanistan,2,5,4,22,4
2021-08-17,Argentina,0,1,2,28,11
2021-08-17,Sweden,2,1,0,4,2
2021-08-18,Afghanistan,2,5,5,21,4
2021-08-18,Argentina,0,4,1,26,11
2021-08-18,Sweden,2,3,0,2,2
2021-08-19,Afghanistan,2,4,7,20,4
2021-08-19,Argentina,0,11,1,19,11
2021-08-19,Sweden,2,1,2,2,2
2021-08-20,Afghanistan,2,8,7,15,5
2021-08-20,Argentina,0,15,1,14,12
2021-08-20,Sweden,2,1,3,1,2
2021-08-21,Afghanistan,2,5,11,14,5
2021-08-21,Argentina,0,13,5,12,12
2021-08-21,Sweden,2,0,4,1,2
2021-08-22,Afghanistan,2,5,11,13,6
2021-08-22,Argentina,0,11,8,11,12
2021-08-22,Sweden,2,0,4,1,2
2021-08-23,Afghanistan,2,4,8,16,7
2021-08-23,Argentina,1,9,12,9,11
2021-08-23,Sweden,2,0,2,3,2
2021-08-24,Afghanistan,2,4,7,16,8
2021-08-24,Argentina,1,8,13,9,11
2021-08-24,Sweden,2,0,1,4,2
2021-08-25,Afghanistan,3,6,2,16,10
2021-08-25,Argentina,1,6,11,11,13
2021-08-25,Sweden,2,0,0,6,1
2021-08-26,Afghanistan,3,5,3,15,11
2021-08-26,Argentina,1,6,8,14,13
2021-08-26,Sweden,2,0,0,6,1
2021-08-27,Afghanistan,3,5,2,17,10
2021-08-27,Argentina,3,6,4,17,12
2021-08-27,Sweden,2,0,0,6,1
2021-08-28,Afghanistan,3,5,2,18,9
2021-08-28,Argentina,3,4,5,17,13
2021-08-28,Sweden,2,0,0,6,1
2021-08-29,Afghanistan,3,5,2,18,9
2021-08-29,Argentina,3,3,4,19,13
2021-08-29,Sweden,2,0,0,6,1
2021-08-30,Afghanistan,3,4,1,19,10
2021-08-30,Argentina,3,3,4,20,12
2021-08-30,Sweden,2,0,0,6,1
2021-08-31,Afghanistan,3,3,2,19,10
2021-08-31,Argentina,3,3,4,20,12
2021-08-31,Sweden,2,0,0,6,1
2021-09-01,Afghanistan,3,3,2,19,10
2021-09-01,Argentina,3,3,1,22,13
2021-09-01,Sweden,2,0,0,6,1
2021-09-02,Afghanistan,3,2,3,19,10
2021-09-02,Argentina,3,3,0,23,13
2021-09-02,Sweden,2,0,0,6,1
2021-09-03,Afghanistan,3,2,2,20,10
2021-09-03,Argentina,3,1,2,24,12
2021-09-03,Sweden,2,0,0,6,1
2021-09-04,Afghanistan,3,2,1,21,10
2021-09-04,Argentina,3,1,2,24,12
2021-09-04,Sweden,2,0,0,6,1
2021-09-05,Afghanistan,3,1,2,22,9
2021-09-05,Argentina,3,1,2,24,12
2021-09-05,Sweden,2,0,0,6,1
2021-09-06,Afghanistan,3,1,1,23,9
2021-09-06,Argentina,3,1,2,24,12
2021-09-06,Sweden,2,0,0,7,0
2021-09-07,Afghanistan,3,0,2,24,8
2021-09-07,Argentina,3,0,1,26,12
2021-09-07,Sweden,2,0,0,7,0
2021-09-08,Afghanistan,3,0,2,27,5
2021-09-08,Argentina,4,0,1,28,9
2021-09-08,Sweden,2,0,0,7,0
2021-09-09,Afghanistan,4,0,1,27,5
2021-09-09,Argentina,4,0,1,30,7
2021-09-09,Sweden,2,0,0,7,0
2021-09-10,Afghanistan,4,0,1,27,5
2021-09-10,Argentina,4,1,1,32,4
2021-09-10,Sweden,2,0,0,7,0
2021-09-11,Afghanistan,4,0,0,28,5
2021-09-11,Argentina,4,1,0,34,3
2021-09-11,Sweden,2,0,0,7,0
2021-09-12,Afghanistan,4,0,0,28,5
2021-09-12,Argentina,4,1,0,35,2
2021-09-12,Sweden,2,0,0,7,0
2021-09-13,Afghanistan,5,0,0,29,3
2021-09-13,Argentina,4,1,0,35,2
2021-09-13,Sweden,2,0,0,7,0
2021-09-14,Afghanistan,5,0,0,29,3
2021-09-14,Argentina,4,1,0,35,2
2021-09-14,Sweden,2,0,0,7,0
2021-09-15,Afghanistan,5,0,0,29,3
2021-09-15,Argentina,4,1,0,36,1
2021-09-15,Sweden,2,0,0,7,0
2021-09-16,Afghanistan,5,0,0,29,3
2021-09-16,Argentina,4,1,0,36,1
2021-09-16,Sweden,2,0,0,7,0
2021-09-17,Afghanistan,5,0,0,30,2
2021-09-17,Argentina,4,0,1,36,1
2021-09-17,Sweden,2,0,0,7,0
2021-09-18,Afghanistan,5,0,0,30,2
2021-09-18,Argentina,4,0,1,36,1
2021-09-18,Sweden,2,0,0,7,0
2021-09-19,Afghanistan,5,0,0,30,2
2021-09-19,Argentina,4,0,1,36,1
2021-09-19,Sweden,2,0,0,7,0
2021-09-20,Afghanistan,5,1,0,30,1
2021-09-20,Argentina,4,0,1,36,1
2021-09-20,Sweden,2,0,0,7,0
2021-09-21,Afghanistan,5,1,0,30,1
2021-09-21,Argentina,4,0,0,38,0
2021-09-21,Sweden,2,0,0,7,0
2021-09-22,Afghanistan,5,1,0,30,1
2021-09-22,Argentina,4,0,0,38,0
2021-09-22,Sweden,2,0,0,7,0
2021-09-23,Afghanistan,5,1,0,31,0
2021-09-23,Argentina,4,0,0,38,0
2021-09-23,Sweden,2,0,0,7,0
2021-09-24,Afghanistan,5,1,0,31,0
2021-09-24,Argentina,4,0,0,38,0
2021-09-24,Sweden,2,0,0,7,0
2021-09-25,Afghanistan,5,1,0,31,0
2021-09-25,Argentina,4,0,0,38,0
2021-09-25,Sweden,2,0,0,7,0
2021-09-26,Afghanistan,5,1,0,31,0
2021-09-26,Argentina,4,0,0,38,0
2021-09-26,Sweden,2,0,0,7,0
2021-09-27,Afghanistan,5,1,0,31,0
2021-09-27,Argentina,4,0,0,38,0
2021-09-27,Sweden,2,0,0,7,0
2021-09-28,Afghanistan,5,1,0,31,0
2021-09-28,Argentina,4,0,0,38,0
2021-09-28,Sweden,2,0,0,7,0
2021-09-29,Afghanistan,5,1,0,31,0
2021-09-29,Argentina,4,0,0,38,0
2021-09-29,Sweden,2,0,0,7,0
2021-09-30,Afghanistan,5,1,0,31,0
2021-09-30,Argentina,4,0,0,38,0
2021-09-30,Sweden,2,0,0,7,0
2021-10-01,Afghanistan,5,1,0,31,0
2021-10-01,Argentina,4,0,0,38,0
2021-10-01,Sweden,2,0,0,7,0
2021-10-02,Afghanistan,5,1,0,31,0
2021-10-02,Argentina,4,0,0,38,0
2021-10-02,Sweden,2,0,0,7,0
2021-10-03,Afghanistan,5,2,0,30,0
2021-10-03,Argentina,4,0,0,38,0
2021-10-03,Sweden,2,0,0,7,0
2021-10-04,Afghanistan,5,2,0,30,0
2021-10-04,Argentina,4,0,0,38,0
2021-10-04,Sweden,2,0,0,7,0
2021-10-05,Afghanistan,5,1,1,30,0
2021-10-05,Argentina,4,0,0,38,0
2021-10-05,Sweden,2,0,0,7,0
2021-10-06,Afghanistan,5,1,1,30,0
2021-10-06,Argentina,4,0,0,38,0
2021-10-06,Sweden,2,0,0,7,0
2021-10-07,Afghanistan,5,1,1,30,0
2021-10-07,Argentina,4,0,0,38,0
2021-10-07,Sweden,2,0,0,7,0
2021-10-08,Afghanistan,5,0,2,30,0
2021-10-08,Argentina,4,0,0,38,0
2021-10-08,Sweden,2,0,0,7,0
2021-10-09,Afghanistan,5,0,1,30,1
2021-10-09,Argentina,4,0,0,38,0
2021-10-09,Sweden,2,0,0,7,0
2021-10-10,Afghanistan,5,0,1,30,1
2021-10-10,Argentina,4,0,0,38,0
2021-10-10,Sweden,2,0,0,7,0
2021-10-11,Afghanistan,5,0,1,30,1
2021-10-11,Argentina,4,0,0,38,0
2021-10-11,Sweden,2,0,0,7,0
2021-10-12,Afghanistan,5,0,0,31,1
2021-10-12,Argentina,4,0,0,38,0
2021-10-12,Sweden,2,0,0,7,0
2021-10-13,Afghanistan,5,0,0,31,1
2021-10-13,Argentina,4,0,0,38,0
2021-10-13,Sweden,2,0,0,7,0
2021-10-14,Afghanistan,5,0,0,31,1
2021-10-14,Argentina,4,0,0,38,0
2021-10-14,Sweden,2,0,0,7,0
2021-10-15,Afghanistan,5,0,0,31,1
2021-10-15,Argentina,4,0,0,38,0
2021-10-15,Sweden,2,0,0,7,0
2021-10-16,Afghanistan,5,0,0,31,1
2021-10-16,Argentina,4,0,0,38,0
2021-10-16,Sweden,2,0,0,7,0
2021-10-17,Afghanistan,5,0,0,31,1
2021-10-17,Argentina,4,0,0,38,0
2021-10-17,Sweden,2,0,0,7,0
2021-10-18,Afghanistan,5,0,0,31,1
2021-10-18,Argentina,4,0,0,38,0
2021-10-18,Sweden,2,0,0,7,0
2021-10-19,Afghanistan,5,0,0,31,1
2021-10-19,Argentina,4,0,0,38,0
2021-10-19,Sweden,2,0,0,7,0
2021-10-20,Afghanistan,5,0,0,31,1
2021-10-20,Argentina,4,0,0,38,0
2021-10-20,Sweden,2,0,0,7,0
2021-10-21,Afghanistan,5,0,0,31,1
2021-10-21,Argentina,4,0,0,38,0
2021-10-21,Sweden,2,0,0,7,0
2021-10-22,Afghanistan,5,0,0,31,1
2021-10-22,Argentina,4,0,0,38,0
2021-10-22,Sweden,2,0,0,7,0
2021-10-23,Afghanistan,5,0,0,32,0
